Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"MM Ali, MS Dhoni",MM Ali, MS Dhoni,2021-2024,6,1,93,51,18.6,1,0
"DJ Bravo, SR Watson",DJ Bravo, SR Watson,2018-2019,2,0,92,51,46,1,0
"DP Conway, R Ravindra",DP Conway, R Ravindra,2025-2025,3,0,91,61,30.33,1,0
"F du Plessis, MEK Hussey",F du Plessis, MEK Hussey,2012-2015,3,0,91,46,30.33,0,0
"SP Fleming, S Vidyut",SP Fleming, S Vidyut,2008-2008,4,0,91,62,22.75,1,0
"JA Morkel, PA Patel",JA Morkel, PA Patel,2008-2010,2,0,90,73,45,1,0
"DP Conway, UM Patel",DP Conway, UM Patel,2025-2025,2,0,88,63,44,1,0
"S Anirudha, SK Raina",S Anirudha, SK Raina,2010-2011,2,1,86,75,86,1,0
"KM Jadhav, SK Raina",KM Jadhav, SK Raina,2019-2019,4,0,85,27,21.25,0,0
"MS Dhoni, V Shankar",MS Dhoni, V Shankar,2025-2025,1,1,84,84*,-,1,0
"RA Jadeja, KM Jadhav",RA Jadeja, KM Jadhav,2018-2020,5,3,84,28*,42,0,0
"RA Jadeja, AM Rahane",RA Jadeja, AM Rahane,2023-2024,3,0,81,38,27,0,0
"SM Curran, MS Dhoni",SM Curran, MS Dhoni,2020-2020,3,1,80,43*,40,0,0
"D Brevis, SM Curran",D Brevis, SM Curran,2025-2025,1,0,78,78,78,1,0
"DJ Bravo, F du Plessis",DJ Bravo, F du Plessis,2015-2018,5,0,75,24,15,0,0
"AT Rayudu, RV Uthappa",AT Rayudu, RV Uthappa,2021-2022,3,0,74,50,24.66,1,0
"MS Dhoni, WP Saha",MS Dhoni, WP Saha,2011-2011,3,1,73,42,36.5,0,0
"RA Jadeja, BB McCullum",RA Jadeja, BB McCullum,2014-2015,3,0,72,40,24,0,0
"S Anirudha, S Badrinath",S Anirudha, S Badrinath,2010-2011,5,2,70,22,23.33,0,0
"S Dube, R Ravindra",S Dube, R Ravindra,2024-2025,3,0,70,30,23.33,0,0
"SM Curran, F du Plessis",SM Curran, F du Plessis,2020-2021,6,1,69,19,13.8,0,0
"MS Dhoni, RD Gaikwad",MS Dhoni, RD Gaikwad,2020-2024,5,3,68,37*,34,0,0
"SK Rasheed, R Ravindra",SK Rasheed, R Ravindra,2025-2025,2,0,68,52,34,1,0
"AT Rayudu, M Vijay",AT Rayudu, M Vijay,2018-2019,3,0,67,33,22.33,0,0
"F du Plessis, RV Uthappa",F du Plessis, RV Uthappa,2021-2021,2,0,66,63,33,1,0
