Winner,Result,Margin,BR,col5,Match,Ground,Start Date,Scorecard
CSK,won,8 wickets,2,,Daredevils v CSK,Delhi,05-May-14,Scorecard
Kings XI,won,44 runs,,,Kings XI v CSK,Cuttack,07-May-14,Scorecard
CSK,won,4 wickets,3,,MI v CSK,Wankhede,10-May-14,Scorecard
CSK,won,5 wickets,2,,CSK v RR,Ranchi,13-May-14,Scorecard
RCB,won,5 wickets,1,,CSK v RCB,Ranchi,18-May-14,Scorecard
KKR,won,8 wickets,12,,KKR v CSK,Eden Gardens,20-May-14,Scorecard
SRH,won,6 wickets,2,,CSK v SRH,Ranchi,22-May-14,Scorecard
CSK,won,8 wickets,14,,RCB v CSK,Bengaluru,24-May-14,Scorecard
CSK,won,7 wickets,8,,MI v CSK,Brabourne,28-May-14,Scorecard
Kings XI,won,24 runs,,,CSK v Kings XI,Wankhede,30-May-14,Scorecard
CSK,won,1 runs,,,CSK v Daredevils,Chennai,09-Apr-15,Scorecard
CSK,won,45 runs,,,CSK v SRH,Chennai,11-Apr-15,Scorecard
CSK,won,6 wickets,20,,MI v CSK,Wankhede,17-Apr-15,Scorecard
RR,won,8 wickets,10,,RR v CSK,Ahmedabad,19-Apr-15,Scorecard
CSK,won,27 runs,,,RCB v CSK,Bengaluru,22-Apr-15,Scorecard
CSK,won,97 runs,,,CSK v Kings XI,Chennai,25-Apr-15,Scorecard
CSK,won,2 runs,,,CSK v KKR,Chennai,28-Apr-15,Scorecard
KKR,won,7 wickets,1,,KKR v CSK,Eden Gardens,30-Apr-15,Scorecard
SRH,won,22 runs,,,SRH v CSK,Hyderabad,02-May-15,Scorecard
CSK,won,24 runs,,,CSK v RCB,Chennai,04-May-15,Scorecard
MI,won,6 wickets,4,,CSK v MI,Chennai,08-May-15,Scorecard
CSK,won,12 runs,,,CSK v RR,Chennai,10-May-15,Scorecard
Daredevils,won,6 wickets,20,,Daredevils v CSK,Raipur,12-May-15,Scorecard
CSK,won,7 wickets,19,,Kings XI v CSK,Mohali,16-May-15,Scorecard
MI,won,25 runs,,,CSK v MI,Wankhede,19-May-15,Scorecard
CSK,won,3 wickets,1,,CSK v RCB,Ranchi,22-May-15,Scorecard
MI,won,41 runs,,,CSK v MI,Eden Gardens,24-May-15,Scorecard
CSK,won,1 wickets,1,,MI v CSK,Wankhede,07-Apr-18,Scorecard
CSK,won,5 wickets,1,,CSK v KKR,Chennai,10-Apr-18,Scorecard
Kings XI,won,4 runs,,,Kings XI v CSK,Mohali,15-Apr-18,Scorecard
CSK,won,64 runs,,,CSK v RR,Pune,20-Apr-18,Scorecard
CSK,won,4 runs,,,SRH v CSK,Hyderabad,22-Apr-18,Scorecard
CSK,won,5 wickets,2,,RCB v CSK,Bengaluru,25-Apr-18,Scorecard
MI,won,8 wickets,2,,CSK v MI,Pune,28-Apr-18,Scorecard
CSK,won,13 runs,,,CSK v Daredevils,Pune,30-Apr-18,Scorecard
KKR,won,6 wickets,14,,KKR v CSK,Eden Gardens,03-May-18,Scorecard
CSK,won,6 wickets,12,,CSK v RCB,Pune,05-May-18,Scorecard
RR,won,4 wickets,1,,RR v CSK,Jaipur,11-May-18,Scorecard
CSK,won,8 wickets,6,,CSK v SRH,Pune,13-May-18,Scorecard
Daredevils,won,34 runs,,,Daredevils v CSK,Delhi,18-May-18,Scorecard
CSK,won,5 wickets,5,,CSK v Kings XI,Pune,20-May-18,Scorecard
CSK,won,2 wickets,5,,CSK v SRH,Wankhede,22-May-18,Scorecard
CSK,won,8 wickets,9,,CSK v SRH,Wankhede,27-May-18,Scorecard
CSK,won,7 wickets,14,,CSK v RCB,Chennai,23-Mar-19,Scorecard
CSK,won,6 wickets,2,,DC v CSK,Delhi,26-Mar-19,Scorecard
CSK,won,8 runs,,,CSK v RR,Chennai,31-Mar-19,Scorecard
MI,won,37 runs,,,MI v CSK,Wankhede,03-Apr-19,Scorecard
CSK,won,22 runs,,,CSK v Kings XI,Chennai,06-Apr-19,Scorecard
CSK,won,7 wickets,16,,CSK v KKR,Chennai,09-Apr-19,Scorecard
CSK,won,4 wickets,0,,RR v CSK,Jaipur,11-Apr-19,Scorecard
CSK,won,5 wickets,2,,KKR v CSK,Eden Gardens,14-Apr-19,Scorecard
SRH,won,6 wickets,19,,SRH v CSK,Hyderabad,17-Apr-19,Scorecard
RCB,won,1 runs,,,RCB v CSK,Bengaluru,21-Apr-19,Scorecard
CSK,won,6 wickets,1,,CSK v SRH,Chennai,23-Apr-19,Scorecard
MI,won,46 runs,,,CSK v MI,Chennai,26-Apr-19,Scorecard
CSK,won,80 runs,,,CSK v DC,Chennai,01-May-19,Scorecard
Kings XI,won,6 wickets,12,,Kings XI v CSK,Mohali,05-May-19,Scorecard
MI,won,6 wickets,9,,CSK v MI,Chennai,07-May-19,Scorecard
CSK,won,6 wickets,6,,CSK v DC,Visakhapatnam,10-May-19,Scorecard
MI,won,1 runs,,,CSK v MI,Hyderabad,12-May-19,Scorecard
CSK,won,5 wickets,4,,MI v CSK,Abu Dhabi,19-Sep-20,Scorecard
